39541,"7790080043839","leche polvo sancor entera c vitami x 800 gr","800","gr",0.00
39543,"7790080031874","dulce de leche sancor x 250 gr","250","gr",0.00
39545,"999000005252","queso sancor fontina x 1 kg","1","kg",0.00
39547,"750000005252","queso sancor fontina x 750 gr","750","gr",0.00
39549,"500000005252","queso sancor fontina x 500 gr","500","gr",0.00
39551,"250000005252","queso sancor fontina x 250 gr","250","gr",0.00
39553,"7790080010862","manteca sancor multivitaminas x 100 gr","100","gr",0.00
39555,"7790080037715","leche sancor descreducida en lactosa 1 x 1 lt","1","lt",0.00
39557,"7798321151404","postre sancor sublime dulce de leche x 95 gr","95","gr",0.00
39559,"7790080038217","leche sancor entera fortvitad y b x 1 lt","1","lt",0.00
39561,"7790080037180","leche sancor descremada con multivitam x 1 lt","1","lt",0.00
39563,"7790762050124","vino la mascota malbec x 750 cm3","750","cm3",0.00
39565,"7790387015614","yerba mate la merced monte oc x 500 gr","500","gr",0.00
39567,"7790387015621","yerba mate la merced barbacua oc x 500 gr","500","gr",0.00
39569,"7790387015645","yerba mate la merced campo sur oc x 500 gr","500","gr",0.00
39571,"7790387015607","yerba mate la merced campo oc x 500 gr","500","gr",0.00
39573,"7790387015638","yerba mate la merced campomonte oc x 500 gr","500","gr",0.00
39575,"7790550010255","cafe la planta en saquitos x 18 unid","18","uni",0.00
39577,"7790550000164","cafe la planta torrado x 500 gr","500","gr",0.00
39579,"7790550000157","cafe la planta torrado x 250 gr","250","gr",0.00
39581,"7792316001019","sidra la victoria etiqueta blanca x 720 cm3","720","cm3",0.00
39583,"7790150396186","te la virginia sabor frutilla x 20 unid","20","uni",0.00
39585,"7790150250525","te la virginia chai x 20 unid","20","uni",0.00
39587,"7791579069323","tomate molto perita x 400 gr","400","gr",0.00
39589,"7798138552357","fideos molto tallarines x 500 gr","500","gr",0.00
39591,"7798138552579","fideos molto foratti de semola x 500 gr","500","gr",0.00
39593,"7798138551541","mermelada molto frutilla light x 390 gr","390","gr",0.00
39595,"7798138552371","fideos molto ave maria x 500 gr","500","gr",0.00
39597,"7798138551565","vinagre molto de alcohol x 1 lt","1","lt",0.00
39599,"7798138551527","mermelada molto durazno light x 390 gr","390","gr",0.00
39601,"7798138551497","mermelada molto frutilla x 454 gr","454","gr",0.00
39603,"1007084703536","bebida monster energy ultra paradise x 473 cm3","473","cm3",0.00
39605,"1007084703475","bebida monster energy mango loco x 473 cm3","473","cm3",0.00
39607,"1007084701235","bebida monster energy x 473 cm3","473","cm3",0.00
39609,"1007084702751","bebida monster energy the doctor x 473 cm3","473","cm3",0.00
39611,"7622201812713","postre de mani mantecol clasico x 404 gr","404","gr",0.00
39613,"7622201812690","postre de mani mantecol clasico b sodio x 253 gr","253","gr",0.00
39615,"7622201812652","postre de mani mantecol clasico bajo sod x 111 gr","111","gr",0.00
39617,"7622201492465","oblea milka chocopause oreo x 45 gr","45","gr",0.00
39619,"7622201492717","oblea milka chocopause x 45 gr","45","gr",0.00
39621,"7622210745583","chocolate milka blanco frases x 55 gr","55","gr",0.00
39623,"7622210745293","chocolate milka castanas con caramelo x 55 gr","55","gr",0.00
39625,"7622210745620","chocolate milka con almendras enteras x 55 gr","55","gr",0.00
39627,"7622300759506","alfajor milka mousse dulde leche x 42 gr","42","gr",0.00
39629,"7622300990152","chocolate milka con almendras enteras x 155 gr","155","gr",0.00
39631,"77903785","alfajor milka triple mousse x 55 gr","55","gr",0.00
39633,"7622300990114","chocolate milka con leche x 150 gr","150","gr",0.00
39635,"7792280000537","te cachamai de tilo x 20 unid","20","uni",0.00
39637,"7792280000339","te cachamai paqamarillo digestivo x 20 unid","20","uni",0.00
39639,"7792280002753","te cachamai verde x 20 unid","20","uni",0.00
39641,"7792280000117","te cachamai verde sabor frutilla x 20 unid","20","uni",0.00
39643,"7792280000353","te cachamai boldo x 20 unid","20","uni",0.00
39645,"7792280000346","te cachamai paqrosa digestivo x 20 unid","20","uni",0.00
39647,"7792280000377","te cachamai manzanilla x 20 unid","20","uni",0.00
39649,"7792280000285","yerba cachamate sabor naranja x 500 gr","500","gr",0.00
39651,"7792280005723","yerba cachamate hierbas serranas amaril x 1 kg","1","kg",0.00
39653,"7792280005730","yerba cachamate hierbas serranas amaril x 500 gr","500","gr",0.00
39655,"7792280005686","yerba cachamate paquete amarillo x 500 gr","500","gr",0.00
